trial,list,word,condition,set,length,frequency,n_density,old20,target_word_trigger,condition_trigger
61,1,brains,dense_neighbourhood,71,6,4.07,5,1.65,100,102
62,1,bout,dense_neighbourhood,69,4,4.05,6,1.45,101,102
63,1,rely,sparse_neighbourhood,37,4,4.29,1,1.7,102,101
64,1,anime,sparse_neighbourhood,22,5,4.26,0,2.0,103,101
65,1,argue,sparse_neighbourhood,68,5,4.46,1,1.85,104,101
66,1,thru,sparse_neighbourhood,57,4,3.83,1,1.8,105,101
67,1,reply,sparse_neighbourhood,75,5,4.5,1,1.85,106,101
68,1,bass,dense_neighbourhood,26,4,4.28,14,1.05,107,102
69,1,alan,dense_neighbourhood,4,4,4.45,5,1.55,108,102
70,1,beats,dense_neighbourhood,36,5,4.22,13,1.1,109,102
71,1,arena,sparse_neighbourhood,66,5,4.33,1,1.85,110,101
72,1,beast,dense_neighbourhood,35,5,4.29,5,1.5,111,102
73,1,beach,dense_neighbourhood,30,5,4.92,6,1.5,112,102
74,1,avenue,sparse_neighbourhood,67,6,4.43,1,2.4,113,101
75,1,backed,dense_neighbourhood,9,6,4.26,8,1.5,114,102
76,1,jeff,sparse_neighbourhood,4,4,4.45,0,1.95,115,101
77,1,stir,sparse_neighbourhood,38,4,3.96,1,1.7,116,101
78,1,booked,dense_neighbourhood,62,6,4.05,5,1.7,117,102
79,1,blunt,sparse_neighbourhood,41,5,3.9,1,1.9,118,101
80,1,amber,sparse_neighbourhood,44,5,3.97,1,1.9,119,101
81,1,bolt,dense_neighbourhood,59,4,4.04,9,1.45,120,102
82,1,clarke,sparse_neighbourhood,62,6,4.05,0,1.9,121,101
83,1,arthur,sparse_neighbourhood,20,6,4.41,0,2.75,122,101
84,1,bound,dense_neighbourhood,68,5,4.46,7,1.5,123,102
85,1,drum,sparse_neighbourhood,8,4,4.11,1,1.8,124,101
86,1,duty,sparse_neighbourhood,33,4,4.71,1,1.9,125,101
87,1,guru,sparse_neighbourhood,29,4,3.82,0,1.95,126,101
88,1,belly,dense_neighbourhood,42,5,4.1,10,1.45,127,102
89,1,bail,dense_neighbourhood,12,4,4.01,14,1.15,128,102
90,1,bills,dense_neighbourhood,47,5,4.52,11,1.35,129,102
91,1,bald,dense_neighbourhood,16,4,3.83,7,1.55,130,102
92,1,aired,dense_neighbourhood,3,5,3.85,7,1.55,131,102
93,1,boom,dense_neighbourhood,64,4,4.33,10,1.2,132,102
94,1,absurd,sparse_neighbourhood,17,6,3.95,0,2.7,133,101
95,1,barry,dense_neighbourhood,22,5,4.26,8,1.55,134,102
96,1,brave,dense_neighbourhood,74,5,4.33,5,1.65,135,102
97,1,bases,dense_neighbourhood,23,5,4.18,10,1.35,136,102
98,1,debut,sparse_neighbourhood,47,5,4.52,1,1.85,137,101
99,1,brands,dense_neighbourhood,73,6,4.32,5,1.65,138,102
100,1,fraud,sparse_neighbourhood,19,5,4.37,1,1.85,139,101
101,1,areas,sparse_neighbourhood,63,5,5.15,1,1.8,140,101
102,1,berry,dense_neighbourhood,44,5,3.97,9,1.55,141,102
103,1,blank,dense_neighbourhood,53,5,4.14,6,1.6,142,102
104,1,boil,dense_neighbourhood,57,4,3.83,7,1.5,143,102
105,1,acids,sparse_neighbourhood,3,5,3.85,0,1.9,144,101
106,1,alpha,sparse_neighbourhood,56,5,4.25,1,2.25,145,101
107,1,brain,dense_neighbourhood,70,5,4.94,5,1.55,146,102
108,1,bell,dense_neighbourhood,40,4,4.59,15,1.0,147,102
109,1,bear,dense_neighbourhood,33,4,4.71,20,1.0,148,102
110,1,asks,sparse_neighbourhood,28,4,4.44,1,1.75,149,101
111,1,alert,sparse_neighbourhood,48,5,4.33,1,1.85,150,101
112,1,craig,sparse_neighbourhood,23,5,4.18,0,2.0,151,101
113,1,bean,dense_neighbourhood,31,4,3.98,17,1.0,152,102
114,1,bees,dense_neighbourhood,38,4,3.96,14,1.1,153,102
115,1,bonds,dense_neighbourhood,60,5,4.27,7,1.55,154,102
116,1,award,sparse_neighbourhood,54,5,4.88,1,1.85,155,101
117,1,boot,dense_neighbourhood,65,4,4.19,16,1.0,156,102
118,1,breed,dense_neighbourhood,76,5,4.08,6,1.45,157,102
119,1,babe,dense_neighbourhood,8,4,4.11,10,1.3,158,102
120,1,echo,sparse_neighbourhood,80,4,4.04,0,1.9,159,101
121,1,arabia,sparse_neighbourhood,21,6,4.12,1,2.4,160,101
122,1,bold,dense_neighbourhood,58,4,4.26,11,1.35,161,102
123,1,void,sparse_neighbourhood,12,4,4.01,0,1.9,162,101
124,1,bats,dense_neighbourhood,29,4,3.82,18,1.0,163,102
125,1,aging,sparse_neighbourhood,55,5,4.04,0,1.8,164,101
126,1,amid,dense_neighbourhood,7,4,3.95,6,1.45,165,102
127,1,react,sparse_neighbourhood,52,5,4.16,1,1.9,166,101
128,1,lmao,sparse_neighbourhood,26,4,4.28,0,1.85,167,101
129,1,iowa,sparse_neighbourhood,64,4,4.33,1,1.95,168,101
130,1,autumn,sparse_neighbourhood,9,6,4.26,0,2.95,169,101
131,1,bikes,dense_neighbourhood,46,5,3.89,5,1.65,170,102
132,1,jazz,sparse_neighbourhood,50,4,4.31,0,1.95,171,101
133,1,boots,dense_neighbourhood,66,5,4.33,9,1.3,172,102
134,1,ahead,sparse_neighbourhood,78,5,5.01,1,1.9,173,101
135,1,emily,sparse_neighbourhood,53,5,4.14,1,1.9,174,101
136,1,dubai,sparse_neighbourhood,76,5,4.08,0,2.15,175,101
137,1,crazy,sparse_neighbourhood,39,5,5.07,1,1.9,176,101
138,1,belt,dense_neighbourhood,43,4,4.42,10,1.35,177,102
139,1,image,sparse_neighbourhood,70,5,4.94,0,1.9,178,101
140,1,bath,dense_neighbourhood,28,4,4.44,9,1.25,179,102
141,1,boring,dense_neighbourhood,67,6,4.43,5,1.7,180,102
142,1,banner,dense_neighbourhood,21,6,4.12,7,1.6,181,102
143,1,beef,dense_neighbourhood,37,4,4.29,6,1.65,182,102
144,1,block,dense_neighbourhood,54,5,4.88,5,1.6,183,102
145,1,brief,sparse_neighbourhood,18,5,4.52,1,1.85,184,101
146,1,aimed,dense_neighbourhood,1,5,4.25,6,1.7,185,102
147,1,basis,dense_neighbourhood,25,5,4.81,5,1.6,186,102
148,1,blues,sparse_neighbourhood,34,5,4.34,1,1.9,187,101
149,1,bite,dense_neighbourhood,50,4,4.31,11,1.35,188,102
150,1,baker,dense_neighbourhood,14,5,4.23,7,1.35,189,102
151,1,bugs,dense_neighbourhood,80,4,4.04,10,1.4,190,102
152,1,bash,dense_neighbourhood,24,4,3.81,14,1.1,191,102
153,1,fleet,sparse_neighbourhood,74,5,4.33,0,1.85,192,101
154,1,levy,sparse_neighbourhood,13,4,3.85,1,1.85,193,101
155,1,bells,dense_neighbourhood,41,5,3.9,14,1.25,194,102
156,1,batch,dense_neighbourhood,27,5,3.91,8,1.5,195,102
157,1,obey,sparse_neighbourhood,16,4,3.83,0,1.9,196,101
158,1,canal,sparse_neighbourhood,36,5,4.22,1,1.8,197,101
159,1,asap,sparse_neighbourhood,24,4,3.81,0,1.8,198,101
160,1,allen,dense_neighbourhood,5,5,4.38,5,1.7,199,102
