word,freq_zipf,language,source,n_density,old20,id,length,n_syllables,frequency,bigram_freq,condition,set,list,trial
clerk,4.0,english,wordfreq,1,1.9,4940,5,1,4.0,0.008823465,low_frequency,10,1,35
breach,4.13,english,wordfreq,3,1.75,3293,6,1,4.13,0.007113858,low_frequency,21,1,36
phone,5.3,english,wordfreq,3,1.65,19923,5,2,5.3,0.007488996,high_frequency,16,1,37
include,5.21,english,wordfreq,0,2.65,13445,7,3,5.21,0.007331082,high_frequency,3,1,38
went,5.5,english,wordfreq,16,1.0,29290,4,1,5.5,0.008722014,high_frequency,36,1,39
help,5.75,english,wordfreq,7,1.55,12458,4,1,5.75,0.004289395,high_frequency,48,1,40
sticker,3.71,english,wordfreq,0,1.9,25663,7,2,3.71,0.01060046,low_frequency,26,1,41
month,5.25,english,wordfreq,3,1.7,17461,5,1,5.25,0.008816579,high_frequency,10,1,42
nice,5.37,english,wordfreq,11,1.2,18147,4,2,5.37,0.006230272,high_frequency,23,1,43
lima,3.58,english,wordfreq,11,1.35,15596,4,2,3.58,0.006243126,low_frequency,39,1,44
wants,5.24,english,wordfreq,5,1.65,29056,5,1,5.24,0.007769937,high_frequency,9,1,45
right,5.96,english,wordfreq,8,1.35,22775,5,1,5.96,0.003992387,high_frequency,53,1,46
sails,3.52,english,wordfreq,8,1.5,23275,5,1,3.52,0.003358893,low_frequency,15,1,47
plague,3.89,english,wordfreq,2,2.15,20129,6,2,3.89,0.003118992,low_frequency,17,1,48
condom,3.6,english,wordfreq,2,1.9,5583,6,2,3.6,0.00772091,low_frequency,34,1,49
like,6.41,english,wordfreq,13,1.1,15577,4,2,6.41,0.004271032,high_frequency,59,1,50
connect,4.38,english,wordfreq,0,1.95,5689,7,2,4.38,0.007326492,low_frequency,3,1,51
morning,5.33,english,wordfreq,1,1.8,17509,7,2,5.33,0.010182722,high_frequency,19,1,52
annex,3.5,english,wordfreq,0,1.95,1085,5,2,3.5,0.006385891,low_frequency,28,1,53
lime,3.86,english,wordfreq,15,1.1,15601,4,2,3.86,0.006233945,low_frequency,23,1,54
issue,5.23,english,wordfreq,0,2.05,14235,5,2,5.23,0.004488165,high_frequency,6,1,55
nothing,5.55,english,wordfreq,0,2.25,18358,7,2,5.55,0.009104864,high_frequency,40,1,56
please,5.66,english,wordfreq,0,1.8,20219,6,2,5.66,0.006546468,high_frequency,45,1,57
children,5.47,english,wordfreq,0,3.2,4640,8,2,5.47,0.006798449,high_frequency,33,1,58
free,5.63,english,wordfreq,8,1.4,10816,4,1,5.63,0.006858257,high_frequency,44,1,59
however,5.58,english,wordfreq,0,2.75,12937,7,3,5.58,0.006353298,high_frequency,42,1,60
owens,3.63,english,wordfreq,2,1.75,19135,5,2,3.63,0.006328051,low_frequency,14,1,61
yuri,3.62,english,wordfreq,1,1.9,29933,4,2,3.62,0.005236881,low_frequency,24,1,62
live,5.54,english,wordfreq,12,1.0,15709,4,2,5.54,0.006246798,high_frequency,39,1,63
hope,5.44,english,wordfreq,13,1.15,12823,4,2,5.44,0.003900117,high_frequency,31,1,64
hard,5.53,english,wordfreq,13,1.0,12180,4,1,5.53,0.006404712,high_frequency,38,1,65
masks,3.88,english,wordfreq,2,1.75,16500,5,1,3.88,0.003447032,low_frequency,18,1,66
chip,4.31,english,wordfreq,9,1.35,4665,4,1,4.31,0.003817488,low_frequency,5,1,67
instead,5.24,english,wordfreq,0,2.85,13827,7,2,5.24,0.011494696,high_frequency,8,1,68
onset,3.72,english,wordfreq,0,2.0,18739,5,2,3.72,0.009016267,low_frequency,22,1,69
which,6.3,english,wordfreq,0,2.0,29354,5,1,6.3,0.00453912,high_frequency,58,1,70
others,5.42,english,wordfreq,1,1.8,18958,6,2,5.42,0.00816711,high_frequency,29,1,71
jungle,4.12,english,wordfreq,2,2.2,14613,6,2,4.12,0.006550875,low_frequency,45,1,72
space,5.23,english,wordfreq,3,1.6,25107,5,2,5.23,0.004460621,high_frequency,7,1,73
genes,4.14,english,wordfreq,2,1.8,11247,5,2,4.14,0.010555932,low_frequency,35,1,74
aide,3.69,english,wordfreq,7,1.25,597,4,2,3.69,0.005220355,low_frequency,57,1,75
deadly,4.16,english,wordfreq,1,1.95,6879,6,2,4.16,0.004796924,low_frequency,2,1,76
each,5.69,english,wordfreq,3,1.55,8475,4,1,5.69,0.005650029,high_frequency,46,1,77
with,6.85,english,wordfreq,4,1.65,29566,4,1,6.85,0.004564827,high_frequency,60,1,78
likely,5.2,english,wordfreq,1,2.05,15581,6,3,5.2,0.00478811,high_frequency,2,1,79
espn,3.93,english,wordfreq,0,1.95,9266,4,1,3.93,0.006413894,low_frequency,38,1,80
example,5.27,english,wordfreq,0,2.75,9448,7,3,5.27,0.003877165,high_frequency,12,1,81
dose,4.2,english,wordfreq,13,1.2,8137,4,2,4.2,0.00428205,low_frequency,59,1,82
slept,4.18,english,wordfreq,1,1.9,24676,5,1,4.18,0.003995141,low_frequency,53,1,83
also,6.19,english,wordfreq,2,1.85,829,4,2,6.19,0.005233208,high_frequency,57,1,84
jelly,3.77,english,wordfreq,5,1.75,14387,5,2,3.77,0.004478525,low_frequency,6,1,85
comes,5.36,english,wordfreq,11,1.35,5278,5,2,5.36,0.009017644,high_frequency,22,1,86
drum,4.11,english,wordfreq,1,1.8,8318,4,1,4.11,0.001887627,low_frequency,56,1,87
thou,4.16,english,wordfreq,5,1.6,27038,4,1,4.16,0.00456299,low_frequency,60,1,88
subs,3.7,english,wordfreq,11,1.3,25980,4,1,3.7,0.001744403,low_frequency,43,1,89
back,6.04,english,wordfreq,16,1.0,2017,4,1,6.04,0.003841359,high_frequency,55,1,90
given,5.41,english,wordfreq,2,1.85,11411,5,2,5.41,0.00638176,high_frequency,28,1,91
tampa,3.92,english,wordfreq,0,2.0,26575,5,2,3.92,0.004463376,low_frequency,7,1,92
months,5.35,english,wordfreq,1,1.85,17463,6,1,5.35,0.007118265,high_frequency,21,1,93
white,5.51,english,wordfreq,6,1.6,29387,5,2,5.51,0.006675095,high_frequency,37,1,94
should,5.99,english,wordfreq,0,1.95,24277,6,1,5.99,0.003645618,high_frequency,54,1,95
dams,3.52,english,wordfreq,10,1.2,6757,4,1,3.52,0.002423802,low_frequency,27,1,96
above,5.2,english,wordfreq,1,1.95,65,5,3,5.2,0.003524153,high_frequency,1,1,97
bowling,4.05,english,wordfreq,3,1.8,3201,7,2,4.05,0.009103028,low_frequency,40,1,98
history,5.39,english,wordfreq,0,2.7,12669,7,3,5.39,0.00708503,high_frequency,25,1,99
coached,3.58,english,wordfreq,2,2.15,5063,7,2,3.58,0.007084111,low_frequency,25,1,100
while,5.86,english,wordfreq,5,1.7,29358,5,2,5.86,0.005222191,high_frequency,51,1,101
used,5.8,english,wordfreq,2,1.75,28423,4,2,5.8,0.009105782,high_frequency,50,1,102
gonna,5.29,english,wordfreq,2,1.9,11551,5,2,5.29,0.006343199,high_frequency,14,1,103
order,5.49,english,wordfreq,1,1.85,18851,5,2,5.49,0.01073634,high_frequency,35,1,104
manly,3.66,english,wordfreq,3,1.75,16307,5,2,3.66,0.006322542,low_frequency,20,1,105
pairing,3.6,english,wordfreq,0,1.9,19225,7,2,3.6,0.010182722,low_frequency,19,1,106
else,5.38,english,wordfreq,3,1.75,8783,4,2,5.38,0.005231372,high_frequency,24,1,107
hamas,3.63,english,wordfreq,0,1.95,12075,5,2,3.63,0.005220814,low_frequency,51,1,108
toni,3.56,english,wordfreq,6,1.6,27297,4,2,3.56,0.009058041,low_frequency,50,1,109
tactics,4.17,english,wordfreq,0,2.75,26505,7,2,4.17,0.006800416,low_frequency,33,1,110
week,5.56,english,wordfreq,7,1.55,29236,4,1,5.56,0.001724204,high_frequency,41,1,111
blossom,3.62,english,wordfreq,0,2.8,2916,7,2,3.62,0.003876247,low_frequency,12,1,112
food,5.4,english,wordfreq,9,1.4,10549,4,1,5.4,0.002425638,high_frequency,27,1,113
pens,3.75,english,wordfreq,15,1.05,19689,4,1,3.75,0.008744048,low_frequency,36,1,114
witches,3.61,english,wordfreq,4,1.75,29565,7,2,3.61,0.006351462,low_frequency,42,1,115
browns,3.86,english,wordfreq,2,1.8,3485,6,1,3.86,0.004004781,low_frequency,47,1,116
roar,3.7,english,wordfreq,5,1.75,22866,4,1,3.7,0.006874783,low_frequency,44,1,117
fewer,4.31,english,wordfreq,3,1.85,10112,5,2,4.31,0.006596597,low_frequency,4,1,118
shot,5.22,english,wordfreq,9,1.25,24273,4,1,5.22,0.003819324,high_frequency,5,1,119
days,5.61,english,wordfreq,13,1.25,6858,4,1,5.61,0.001748075,high_frequency,43,1,120
